"bacterium_clean","gene","r_primary","r","q","sig_downstream","sig_primary","evidence","upper_right"
"s  Escherichia coli","MYC",-0.2167,-0.0441,0.4965,FALSE,TRUE,"novel",FALSE
"s  Methylorubrum populi","CTNNB1",-0.2147,-0.111,0.0504,FALSE,TRUE,"novel",FALSE
"s  Methylorubrum populi","CCND1",-0.2147,-0.1091,0.0548,FALSE,TRUE,"novel",FALSE
"s  Anaerococcus prevotii","CTNNB1",-0.2113,-0.0546,0.3835,FALSE,TRUE,"novel",FALSE
"s  Anaerococcus prevotii","MYC",-0.2113,-0.0963,0.0955,FALSE,TRUE,"novel",FALSE
"s  Escherichia fergusonii","CTNNB1",-0.2062,0.0108,0.8823,FALSE,TRUE,"novel",FALSE
"s  Escherichia fergusonii","MYC",-0.2062,0.0018,0.9814,FALSE,TRUE,"novel",FALSE
"s  Escherichia fergusonii","CCND1",-0.2062,-0.0856,0.1424,FALSE,TRUE,"novel",FALSE
"s  Sphingomonas alpina","MYC",-0.2048,-0.0823,0.1611,FALSE,TRUE,"novel",FALSE
"s  Prevotella melaninogenica","CTNNB1",-0.2045,-0.0622,0.31,FALSE,TRUE,"novel",FALSE
"s  Prevotella melaninogenica","MYC",-0.2045,-0.0514,0.4153,FALSE,TRUE,"novel",FALSE
"s  Gardnerella vaginalis","CTNNB1",-0.2,0.0044,0.9532,FALSE,TRUE,"novel",FALSE
"s  Gardnerella vaginalis","MYC",-0.2,-0.046,0.4736,FALSE,TRUE,"novel",FALSE
"s  Klebsiella pneumoniae","CTNNB1",0.2075,-0.1025,0.0731,FALSE,TRUE,"novel",FALSE
"s  Klebsiella pneumoniae","CCND1",0.2075,-0.0073,0.9232,FALSE,TRUE,"novel",FALSE
"s  Priestia megaterium","CTNNB1",0.2576,-0.0607,0.3222,FALSE,TRUE,"novel",FALSE
"s  Priestia megaterium","MYC",0.2576,-0.0732,0.2197,FALSE,TRUE,"novel",FALSE
